timestamp,activity,acc_x,acc_y,acc_z
1775305523463,Sitting,0.0000,0.0000,0.1000
1775305523474,Sitting,0.0000,0.0000,0.1000
1775305523491,Sitting,0.0000,0.0000,-0.1000
1775305523507,Sitting,0.1000,0.0000,0.0000
1775305523524,Sitting,0.0000,0.0000,0.1000
1775305523541,Sitting,-0.1000,0.0000,0.0000
1775305523557,Sitting,0.0000,0.0000,0.0000
1775305523574,Sitting,0.0000,0.0000,0.0000
1775305523591,Sitting,-0.1000,0.0000,-0.1000
1775305523607,Sitting,0.0000,0.0000,0.1000
1775305523624,Sitting,-0.1000,0.0000,0.1000
1775305523641,Sitting,-0.1000,0.0000,0.0000
1775305523658,Sitting,0.0000,0.0000,-0.1000
1775305523674,Sitting,0.0000,0.0000,0.0000
1775305523691,Sitting,0.0000,0.0000,0.0000
1775305523708,Sitting,0.0000,0.0000,0.0000
1775305523724,Sitting,0.0000,0.0000,0.1000
1775305523741,Sitting,0.0000,0.0000,0.0000
1775305523758,Sitting,0.0000,0.0000,0.0000
1775305523774,Sitting,0.0000,0.0000,0.0000
1775305523791,Sitting,0.0000,0.0000,0.0000
1775305523810,Sitting,0.1000,-0.1000,0.1000
1775305523825,Sitting,0.0000,-0.1000,0.1000
1775305523841,Sitting,0.0000,0.0000,0.0000
1775305523858,Sitting,0.0000,0.0000,0.0000
1775305523875,Sitting,0.0000,0.0000,0.0000
1775305523891,Sitting,0.0000,0.0000,0.0000
1775305523908,Sitting,0.0000,-0.1000,0.1000
1775305523924,Sitting,0.0000,0.0000,0.0000
1775305523943,Sitting,0.0000,0.0000,-0.1000
1775305523958,Sitting,0.0000,0.0000,-0.1000
1775305523974,Sitting,0.0000,0.0000,0.0000
1775305523991,Sitting,-0.1000,0.0000,0.0000
1775305524009,Sitting,0.0000,0.0000,0.0000
1775305524024,Sitting,-0.1000,0.0000,-0.1000
1775305524041,Sitting,0.0000,0.1000,0.0000
1775305524058,Sitting,0.0000,0.0000,0.2000
1775305524074,Sitting,-0.1000,0.1000,0.0000
1775305524093,Sitting,-0.1000,-0.1000,0.2000
1775305524108,Sitting,0.0000,-0.1000,0.0000
1775305524124,Sitting,0.0000,0.0000,0.0000
1775305524141,Sitting,0.0000,-0.1000,0.0000
1775305524158,Sitting,0.1000,-0.1000,0.0000
1775305524174,Sitting,0.1000,0.0000,0.0000
1775305524191,Sitting,0.1000,0.1000,0.1000
1775305524207,Sitting,0.0000,0.0000,0.1000
1775305524224,Sitting,0.0000,0.0000,0.0000
1775305524241,Sitting,0.0000,0.1000,0.0000
1775305524258,Sitting,0.0000,0.1000,0.0000
1775305524274,Sitting,0.0000,0.2000,0.0000
1775305524291,Sitting,0.2000,0.2000,0.1000
1775305524307,Sitting,0.1000,0.0000,-0.1000
1775305524324,Sitting,-0.2000,-0.1000,0.0000
1775305524341,Sitting,-0.4000,0.1000,0.1000
1775305524357,Sitting,0.0000,-0.2000,0.1000
1775305524374,Sitting,0.0000,-0.2000,0.1000
1775305524391,Sitting,0.3000,0.1000,0.0000
1775305524408,Sitting,0.0000,0.0000,-0.1000
1775305524424,Sitting,-0.1000,-0.1000,0.0000
1775305524441,Sitting,-0.1000,0.0000,0.0000
1775305524457,Sitting,0.0000,0.0000,0.0000
1775305524474,Sitting,0.0000,0.0000,0.0000
1775305524491,Sitting,0.0000,0.0000,0.0000
1775305524507,Sitting,0.0000,0.0000,0.0000
1775305524524,Sitting,0.0000,0.0000,0.0000
1775305524541,Sitting,0.0000,0.0000,0.0000
1775305524558,Sitting,0.0000,0.0000,0.0000
1775305524574,Sitting,0.0000,0.0000,0.1000
1775305524591,Sitting,0.0000,0.0000,0.1000
1775305524607,Sitting,0.0000,-0.1000,0.0000
1775305524624,Sitting,0.0000,0.0000,0.1000
1775305524641,Sitting,0.0000,0.0000,0.0000
1775305524658,Sitting,0.0000,0.0000,0.1000
1775305524674,Sitting,0.0000,-0.1000,0.1000
1775305524691,Sitting,0.0000,0.0000,0.0000
1775305524708,Sitting,0.0000,0.0000,0.0000
1775305524724,Sitting,0.0000,0.0000,0.0000
1775305524741,Sitting,-0.1000,0.1000,0.1000
1775305524757,Sitting,-0.1000,0.1000,0.0000
1775305524774,Sitting,0.0000,0.1000,-0.1000
1775305524791,Sitting,0.1000,0.0000,0.0000
1775305524808,Sitting,0.0000,-0.1000,0.0000
1775305524824,Sitting,-0.1000,-0.1000,0.0000
1775305524841,Sitting,0.0000,0.0000,0.0000
1775305524857,Sitting,-0.1000,0.0000,0.1000
1775305524874,Sitting,-0.1000,0.1000,0.1000
1775305524891,Sitting,-0.1000,0.1000,0.0000
1775305524908,Sitting,0.0000,-0.1000,0.0000
1775305524924,Sitting,0.0000,0.0000,0.0000
1775305524941,Sitting,0.1000,0.1000,-0.1000
1775305524957,Sitting,0.0000,0.0000,0.0000
1775305524974,Sitting,0.0000,-0.1000,0.0000
1775305524991,Sitting,0.1000,0.0000,0.1000
1775305525007,Sitting,-0.1000,0.0000,0.2000
1775305525024,Sitting,-0.1000,0.0000,0.0000
1775305525041,Sitting,0.0000,0.0000,-0.1000
1775305525058,Sitting,0.1000,-0.1000,0.0000
1775305525074,Sitting,0.0000,-0.1000,0.1000
1775305525091,Sitting,0.0000,0.0000,0.1000
1775305525108,Sitting,0.0000,0.1000,-0.1000
1775305525124,Sitting,0.1000,0.0000,-0.2000
1775305525141,Sitting,0.1000,0.0000,0.1000
1775305525159,Sitting,-0.1000,0.0000,0.1000
1775305525174,Sitting,0.0000,0.0000,-0.1000
1775305525191,Sitting,0.1000,0.0000,0.0000
1775305525208,Sitting,0.0000,0.0000,0.0000
1775305525224,Sitting,0.0000,0.0000,0.1000
1775305525241,Sitting,0.0000,0.0000,0.1000
1775305525258,Sitting,0.0000,0.0000,0.0000
1775305525274,Sitting,0.0000,0.0000,0.0000
1775305525291,Sitting,0.0000,0.0000,0.0000
1775305525307,Sitting,0.0000,0.0000,0.1000
1775305525324,Sitting,-0.1000,0.0000,0.1000
1775305525341,Sitting,-0.1000,0.0000,0.0000
1775305525358,Sitting,-0.1000,0.0000,0.0000
1775305525375,Sitting,0.0000,0.0000,0.0000
1775305525391,Sitting,0.0000,0.0000,0.0000
1775305525407,Sitting,0.1000,0.0000,0.0000
1775305525424,Sitting,0.1000,0.1000,0.0000
1775305525441,Sitting,0.1000,0.0000,0.0000
1775305525458,Sitting,0.0000,0.0000,0.1000
1775305525474,Sitting,-0.1000,-0.1000,0.1000
1775305525491,Sitting,0.0000,0.0000,0.0000
1775305525508,Sitting,0.1000,0.0000,0.0000
1775305525524,Sitting,0.0000,0.0000,0.0000
1775305525541,Sitting,0.0000,0.0000,0.0000
